product_id,product_name,tags
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),portron konnect l por-1081 fast charg 3a type-c cabl 1.2meter charg & sync function type-c devic (grey) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹339 4.3 13391 [charg & sync function]- cabl come charg & data sync function smartphones|[high qualiti material]- tpe + nylon materi make sure life cabl enhanc significantly|[long cord]- cabl extra thick 1.2 meter long optim easi use comfort home office|[mor durable]-thi cabl uniqu interm design multi-us posit provid best comfort perform use good fast charg data transfer good cabl compar local brand. good doesnt last good product good product good worth good materi qualiti charg speed 15 watt fast charger cabl effici fast charg quick data transfer. overal fine. like usb c l shape. nylon shield core wire improv life cable. think buy everi 6 month so. fast charg stop work while. probbl someth cabl design. cabl get twist time suspect break high capac wire inside. keep buy arent mani option l shape design good durabl product. sometim charg work adapters. might cut someth work fine appl adapt car charger usb product realli good afford price. good fast charg valu money பொருள் உடைய கடினத்தன்மையின் நன்றாக உள்ளது சார்ஜ் ஏறும் வேகம் 15wat fast charger. slow charg 65w. l-shape pin useful.
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),boat rug v3 extra tough unbreak braid micro usb cabl 1.5 meter (black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹799 4.2 94363 boat rug cabl featur special toughest polyethylen braid jacket uniqu jacket provid greater protect anyth els seen class. round cable|extra tough polyethylen terephthal cabl skin ensur 10000 plu bend lifespan stress stretch resistance|th boat rug micro usb cabl compat android smartphon window phone tablet pc peripher micro usb compat devices|2.4a rapid charg fast data transmiss rapid speed sync devic speed 480mbps|boat rug micro usb cabl offer perfect 1.5 meter length optim easi use comfort home office|2 year warranti date purchas good product good one nice realli nice product first time chang good fine product could better nice charg like jet good product long wire charg good nice bought cabl rs.339 worthi product price test variou charger adapt 33w 18w support fast charg well. good ok got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day only. like product
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",amazonbas flexibl premium hdmi cabl (black 4k@60hz 18gbps) 3-foot electron hometheat tv&video accessori cabl hdmicabl ₹700 4.4 426973 flexibl lightweight hdmi cabl connect media devic playback display hdtv projector more|compat blu-ray player comput appl tv roku cabl ps4 xbox one hdmi-compat devices|solid copper conductor full metal jacket shield durabl high-perform connectivity|support ethernet 3d 4k video audio return channel (arc) meet latest hdmi standards|support bandwidth 18gbp backward compat earlier versions|includ 3 foot cabl quit good valu money work well hdmi cabl valu money good get job done deliveri good one need purchas use 14 day now. experi pretti good now. pictur qualiti also bad. expect someth world price point. go tight budget. initi impressions: work said glad didn’t go cheaper option (not it’ costly) plug play. updat screw hdmi cabl good watch movi sport give better qualiti connect laptop tv play 🎮.i love work expected. length cabl short mention also satisfi requirement. need length better look options. good best hdmi cabl price range. problem yet. go !! expect deliv time deliv time.product good tri cabl wire amazon basica brand. good one
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",portron konnect cl 20w por-1067 type-c 8 pin usb 1.2m cabl power deliveri & 3a quick charg support nylon braid type-c 8 pin devic green computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹899 4.2 2262 [20w pd fast charging]-it’ support 20w pd quick charg protocol charg 50% around 30 minutes. ideal charg usb type c enabl devic maximum speed|[usb-c 8 pin cable]- it’ offer rapid charg sync usb type-c 8 pin enabl devices. safe charg 3a ensur high-standard components|[mor durable]- cabl uniqu interm design multi-us posit provid best comfort perform using|[flex cord]- cabl use nylon braid + metal hous materi make sure life cabl enhanc significantly. 4mm extra thick slim 1.2meter long|[univers compatibility]-charg type c usb connect devic includ macbook 12 inch nexu 5x nexu 6p oneplu 2 pixel c lumia 950 lumia 950 xl nokia n1 etc work nice product fast charg origin good data transfer average. cost effect good qualiti great product nice definit isn’t good origin cord works. fast charg pretti sturdi worth faulti cable. lazi lot money instead call appl bought like 300 bucks. didn’t expect much surpris cabl actual work fast charging. go felt quit sturdi connector look premium easi insert. use cabl switch data iphon 7 m30s. cabl work like charm use smart switch app data includ whatsapp data transfer successfully. satisfi performance. good qualiti goodwork smoothly.. use portron pd charger real fast charg cabl serv purpos good
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),portron konnect l 1.2m por-1401 fast charg 3a 8 pin usb cabl charg & sync function (white) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹399 4.1 4768 [charg & sync function]- cabl come charg & data sync function|[high qualiti material]- tpe + nylon materi make sure life cabl enhanc significantly|[long cord]- cabl extra thick 1.2 meter long optim easi use comfort home office|[mor durable]-thi cabl uniqu interm design multi-us posit provid best comfort perform using|[univers compatibility]- compat devic like iphon xs x xr 8 7 6s 6 5s ipad pro ipad mini ipad air great work well 6 six month that’ compat appl ipad 2nd gener charg well. cabl product good phone get disconnect multipl occasions. fast charg cabl good item. valu amaz product valu money loos charg cabl appl costli affair. wire great purchas made correct work well six month that’ it’ stop work plan buy one price come 150 good product. compat ipad 2nd gener charg well. qualiti product good also work fine. total worth price. product super i'm use last 6 month. till good functioning. notic phone get disconnect multipl occasions. might cabl may damaged.overal work well 6 month. take 5-6 hour charg full. good item. valu best product use till now.
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),mi braid usb type-c cabl charg adapt (red) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹399 4.4 18757 1m long cable. usb 2.0 (type a)|toughen joints|strong sturdy|countri origin: china|6 month warranti good product use product 8month done face problem far build qualiti best realli like one. strong support fast charg nice cabl best data cabl charg fast good job good need improv like 👍👍 best charg power . use cabl note 8 pro mi. use 8month also fast working. 350 might littl expens physic it’ good. feel premium. power limit suitabl fast charging. best data cabl charg fast good qualiti good durabl overal good need improvement...
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),mi 80 cm (32 inches) 5a seri hd readi smart android led tv l32m7-5ain (black) electron hometheat tv&video televis smarttelevis ₹24 999 4.2 32840 note : brand mi xiaomi part multin conglomerate|resolut : hd readi (1366 x 768) resolut | refresh rate : 60 hertz | 178 degre wide view angle|connectivity: dual band wi-fi | 2 hdmi port connect latest game consol set top box blu-ray player | 2 usb port connect hard drive usb devic | allm | arc | bluetooth 5.0 | ethernet|sound: 20 watt output | dolbi audio dt virtual: x dts-hd|smart tv featur : android tv 11 | patchwal | imdb integr | univers search | 300+ free live channel | kid mode parent lock | smart recommend | languag univers – 15+ languag | user centr | okay googl | chromecast suport app : netflix prime video disney+ hotstar | 5000+ app play store |quad core cortex a35 | chromecast built-in | ok googl | auto low latenc mode | 1gb ram + 8gb storage|display: hd readi | vivid pictur engine|warranti information: 1 year comprehens warranti product 1 year addit panel provid brand date purchas best tv get 10-12k good price os lag garbag qualiti good product. good qualiti great experi everyth fantast 🤠 super pictur qualiti sound qualiti awesom pros- xiomi 5a best budget-nic pictur quality-veri nice audio output- full featurecons- sometim tv lags-sometim stucksin prize rang tv con like this.::overal nice tv product price rang good run android 12 lags. hope updat lag problem resolv useless product useless quality. display issu within 7 month servic center upto mark. go better brand qualiti assured. would wish option neg stars. use connect tv pictur good. hop best level song. globali good product. greater ever good qualiti good 👍
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",ambran unbreak 60w / 3a fast charg 1.5m braid type c type c cabl smartphon tablet laptop & type c devic pd technolog 480mbp data sync (rctt15 black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹399 4.0 43994 compat type c enabl devic android smartphon (mi samsung oppo vivo realm oneplu etc) tablet laptop (macbook chromebook etc)|unbreak – made special braid outer rug interior bind ultra-dur cabl won’t affect daili rough usage|id length – ideal length 1.5 meter neither short like typic 1meter cabl long like 2meter cable|support maximum 3a fast charg 480 mbp data transfer speed|6 month manufactur warranti date purchas good braid cabl type c devic good qualiti product ambran super cabl good qualiti good product good good qualiti price one issu unit order cabl connect phone android auto car. cabl realli strong connect port realli well made. alreadi micro usb cabl ambran still good shape. connect phone car use cabl got connect well issues. also connect charg port ye fast charg support. qualiti good price main thing ever thought cabl long good one charg power good also support fast charg valu money extra length👍 good work fine product qualiti good good good bought daughter' old phone.brand new cabl charg alreadi repack request replacement.i check green colour paste/fungu insid micro usb connector. clean alcohol start work again.check amper charg speed got around 1400ma-1500ma - bad came braid 1.5m long cabl pretti impress price.can't blame manufacturer.but qualiti issu distributor might store humid place.
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",boat type c a325 tangle-fre sturdi type c cabl 3a rapid charg & 480mbp data transmission(black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹499 4.1 13045 type c 325 cabl design perfect 1.5 meter length hassl free usage|it don premium braid skin make sturdi invinc extern damag 10000+ bend lifespan cabl stay stronger last longer|typ c 325 offer univers compat smartphon tablet pc peripher bluetooth speaker power bank devic type c port|th revers metal aluminium tip let user connect devic carefre manner|it flexibl design offer user tangle-fre experience|2 year warranti date purchas good charg data transfer ਮਜ਼ਬੂਤ good qualiti less power deliveri fantastic! good use fit properli can't support oppo mobil fast charg check offera buy 18w charg cabl awesom cable!charg data transfer durabl simpli awesom singl disconnect issu alway face origin mi cabl box. bought 1 time last cabl damag phone fell usb cabl port phone heavi never face issu bought one time went replac wast time energi also boat earphon also awesome..😄 good charg slow. forget fast charging. use cabl fit properli samsung galaxi m31 type c port. littl hit happen cabl plug out. otherwis length cabl qualiti nice boat type c cabl support fast charg oppo f15 earlier use vooc cabl work excel
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),lg 80 cm (32 inches) hd readi smart led tv 32lm563bptc (dark iron gray) electron hometheat tv&video televis smarttelevis ₹21 990 4.3 11976 resolution: hd readi (1366x768) | refresh rate: 50 hertz|connectivity: 2 hdmi port connect set top box blu ray player game consol | 1 usb port connect hard drive usb devices|sound output: 10 watt output 2 speaker | dt virtual:x | sound type : firing|smart tv features: web os smart tv | wi-fi | home dashboard | screen mirror | mini tv browser | multi-task | offic 365 set wxhxd (with stand ) mm - 739 x 472 x 168|display: activ hdr | display type: flat | backlight module: slim led|warranti information: 1 year lg india comprehens warranti addit 1 year warranti applic panel/modul date purchase|instal : request installation/wal mounting/demo product deliv pleas directli call lg support (pleas visit lg websit toll free numebrs) provid product' model name well seller' detail mention invoic sound qualiti nice valu money good good price. good item budget friendli good lg alway good correct deliveri good servic sound qualiti poor. speaker fit tv. clear sound. problem. good videogood vice pictur qualiti awesome. good price okay product os lag year use. best get price tag come with. like best one come bugdet easi instal handi features. good
